Dimension ID,Dimension Type,Dimension,Score Name,Score Type,Score Value,Participants,Quality,Valuation
58f616eaca49f6000474c545,hierarchy,Happyforce Core Team,Relationships,Score,8.444444444444445,9,NORMAL,GOOD
58f616eaca49f6000474c545,hierarchy,Happyforce Core Team,Relationships,Factor: Managers,7,1,LOW,WARNING
58f616eaca49f6000474c545,hierarchy,Happyforce Core Team,Relationships,Factor: Peers,9,5,NORMAL,GOOD
58f616eaca49f6000474c545,hierarchy,Happyforce Core Team,Relationships,Factor: Confidence,9.333333333333334,3,NORMAL,EXCELLENT
58f616eaca49f6000474c545,hierarchy,Happyforce Core Team,Intrinsic Motivation,Score,8.417592592592593,11,NORMAL,GOOD
58f616eaca49f6000474c545,hierarchy,Happyforce Core Team,Intrinsic Motivation,Factor: Autonomy,9.11111111111111,3,NORMAL,EXCELLENT
58f616eaca49f6000474c545,hierarchy,Happyforce Core Team,Intrinsic Motivation,Factor: Mastery,8.041666666666668,3,NORMAL,GOOD
58f616eaca49f6000474c545,hierarchy,Happyforce Core Team,Intrinsic Motivation,Factor: Purpose,8.1,5,NORMAL,GOOD
58f616eaca49f6000474c545,hierarchy,Happyforce Core Team,Feedback,Score,8.444444444444445,10,NORMAL,GOOD
58f616eaca49f6000474c545,hierarchy,Happyforce Core Team,Feedback,Factor: Freedom of Opinion,9.166666666666666,2,NORMAL,EXCELLENT
58f616eaca49f6000474c545,hierarchy,Happyforce Core Team,Feedback,Factor: Quality & Frequency,7.5,4,NORMAL,GOOD
58f616eaca49f6000474c545,hierarchy,Happyforce Core Team,Feedback,Factor: Active Listening,8.666666666666666,4,NORMAL,GOOD
58f616eaca49f6000474c545,hierarchy,Happyforce Core Team,Alignment,Score,9.106481481481483,9,NORMAL,EXCELLENT
58f616eaca49f6000474c545,hierarchy,Happyforce Core Team,Alignment,Factor: Values & Ethics,9.111111111111112,4,NORMAL,EXCELLENT
58f616eaca49f6000474c545,hierarchy,Happyforce Core Team,Alignment,Factor: Goals & Role,9.333333333333334,1,LOW,EXCELLENT
58f616eaca49f6000474c545,hierarchy,Happyforce Core Team,Alignment,Factor: Trust & Vision,8.875,4,NORMAL,GOOD
58f616eaca49f6000474c545,hierarchy,Happyforce Core Team,Wellbeing,Score,8,10,NORMAL,GOOD
58f616eaca49f6000474c545,hierarchy,Happyforce Core Team,Wellbeing,Factor: Stress & Health,7.916666666666667,4,NORMAL,GOOD
58f616eaca49f6000474c545,hierarchy,Happyforce Core Team,Wellbeing,Factor: Diversity & Equality,7.833333333333333,2,NORMAL,GOOD
58f616eaca49f6000474c545,hierarchy,Happyforce Core Team,Wellbeing,Factor: Environment,8.25,4,NORMAL,GOOD
58f616eaca49f6000474c545,hierarchy,Happyforce Core Team,Reward & Recognition,Score,8.664814814814816,10,NORMAL,GOOD
58f616eaca49f6000474c545,hierarchy,Happyforce Core Team,Reward & Recognition,Factor: Compensation,8.527777777777779,4,NORMAL,GOOD
58f616eaca49f6000474c545,hierarchy,Happyforce Core Team,Reward & Recognition,Factor: Recognition,8.466666666666667,5,NORMAL,GOOD
58f616eaca49f6000474c545,hierarchy,Happyforce Core Team,Reward & Recognition,Factor: Benefits,9,1,LOW,GOOD
5d777e5785faa700048b723e,hierarchy,Happyforce Core Team > Administración y Finance,Relationships,Score,-,-,-,-
5d777e5785faa700048b723e,hierarchy,Happyforce Core Team > Administración y Finance,Intrinsic Motivation,Score,-,-,-,-
5d777e5785faa700048b723e,hierarchy,Happyforce Core Team > Administración y Finance,Feedback,Score,-,-,-,-
5d777e5785faa700048b723e,hierarchy,Happyforce Core Team > Administración y Finance,Alignment,Score,-,-,-,-
5d777e5785faa700048b723e,hierarchy,Happyforce Core Team > Administración y Finance,Wellbeing,Score,-,-,-,-
5d777e5785faa700048b723e,hierarchy,Happyforce Core Team > Administración y Finance,Reward & Recognition,Score,-,-,-,-
6697942041c8e70c289f25ce,hierarchy,Happyforce Core Team > Padawan,Relationships,Score,-,-,-,-
6697942041c8e70c289f25ce,hierarchy,Happyforce Core Team > Padawan,Intrinsic Motivation,Score,-,-,-,-
6697942041c8e70c289f25ce,hierarchy,Happyforce Core Team > Padawan,Feedback,Score,-,-,-,-
6697942041c8e70c289f25ce,hierarchy,Happyforce Core Team > Padawan,Alignment,Score,-,-,-,-
6697942041c8e70c289f25ce,hierarchy,Happyforce Core Team > Padawan,Wellbeing,Score,-,-,-,-
6697942041c8e70c289f25ce,hierarchy,Happyforce Core Team > Padawan,Reward & Recognition,Score,-,-,-,-
677fffabea4d6a5a19244889,hierarchy,Happyforce Core Team > Padawan > 04 prueba,Relationships,Score,-,-,-,-
677fffabea4d6a5a19244889,hierarchy,Happyforce Core Team > Padawan > 04 prueba,Intrinsic Motivation,Score,-,-,-,-
677fffabea4d6a5a19244889,hierarchy,Happyforce Core Team > Padawan > 04 prueba,Feedback,Score,-,-,-,-
677fffabea4d6a5a19244889,hierarchy,Happyforce Core Team > Padawan > 04 prueba,Alignment,Score,-,-,-,-
677fffabea4d6a5a19244889,hierarchy,Happyforce Core Team > Padawan > 04 prueba,Wellbeing,Score,-,-,-,-
677fffabea4d6a5a19244889,hierarchy,Happyforce Core Team > Padawan > 04 prueba,Reward & Recognition,Score,-,-,-,-
677fff8fea4d6a5a19244887,hierarchy,Happyforce Core Team > Padawan > 03 prueba,Relationships,Score,-,-,-,-
677fff8fea4d6a5a19244887,hierarchy,Happyforce Core Team > Padawan > 03 prueba,Intrinsic Motivation,Score,-,-,-,-
677fff8fea4d6a5a19244887,hierarchy,Happyforce Core Team > Padawan > 03 prueba,Feedback,Score,-,-,-,-
677fff8fea4d6a5a19244887,hierarchy,Happyforce Core Team > Padawan > 03 prueba,Alignment,Score,-,-,-,-
677fff8fea4d6a5a19244887,hierarchy,Happyforce Core Team > Padawan > 03 prueba,Wellbeing,Score,-,-,-,-
677fff8fea4d6a5a19244887,hierarchy,Happyforce Core Team > Padawan > 03 prueba,Reward & Recognition,Score,-,-,-,-
677fffc0ea4d6a5a1924488b,hierarchy,Happyforce Core Team > Padawan > 02 prueba,Relationships,Score,-,-,-,-
677fffc0ea4d6a5a1924488b,hierarchy,Happyforce Core Team > Padawan > 02 prueba,Intrinsic Motivation,Score,-,-,-,-
